postcodes,district,county,country,district_county,purchasing_power_per_capita
3750,Aveiro,Águeda,Portugal,Aveiro_Águeda,87.9
3754,Aveiro,Águeda,Portugal,Aveiro_Águeda,87.9
3850,Aveiro,Albergaria-a-Velha,Portugal,Aveiro_Albergaria-a-Velha,85.4
3780,Aveiro,Anadia,Portugal,Aveiro_Anadia,82
4540,Aveiro,Arouca,Portugal,Aveiro_Arouca,74.3
3810,Aveiro,Aveiro,Portugal,Aveiro_Aveiro,119.7
3800,Aveiro,Aveiro,Portugal,Aveiro_Aveiro,119.7
3804,Aveiro,Aveiro,Portugal,Aveiro_Aveiro,119.7
3814,Aveiro,Aveiro,Portugal,Aveiro_Aveiro,119.7
3813,Aveiro,Aveiro,Portugal,Aveiro_Aveiro,119.7
4550,Aveiro,Castelo de Paiva,Portugal,Aveiro_Castelo de Paiva,70.6
4500,Aveiro,Espinho,Portugal,Aveiro_Espinho,95.9
4504,Aveiro,Espinho,Portugal,Aveiro_Espinho,95.9
3860,Aveiro,Estarreja,Portugal,Aveiro_Estarreja,86.2
3864,Aveiro,Estarreja,Portugal,Aveiro_Estarreja,86.2
3870,Aveiro,Murtosa,Portugal,Aveiro_Murtosa,73.1
3865,Aveiro,Estarreja,Portugal,Aveiro_Estarreja,86.2
3830,Aveiro,Ílhavo,Portugal,Aveiro_Ílhavo,87.9
3050,Aveiro,Mealhada,Portugal,Aveiro_Mealhada,88.8
3054,Aveiro,Mealhada,Portugal,Aveiro_Mealhada,88.8
3720,Aveiro,Oliveira de Azeméis,Portugal,Aveiro_Oliveira de Azeméis,84.5
3700,Aveiro,Oliveira de Azeméis,Portugal,Aveiro_Oliveira de Azeméis,84.5
3770,Aveiro,Oliveira do Bairro,Portugal,Aveiro_Oliveira do Bairro,85.5
3774,Aveiro,Oliveira do Bairro,Portugal,Aveiro_Oliveira do Bairro,85.5
3885,Aveiro,Ovar,Portugal,Aveiro_Ovar,89.1
3880,Aveiro,Ovar,Portugal,Aveiro_Ovar,89.1
3884,Aveiro,Ovar,Portugal,Aveiro_Ovar,89.1
4505,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,88.4
3700,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,88.4
4525,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,88.4
4520,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,88.4
4535,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,88.4
4500,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,88.4
3700,Aveiro,São João da Madeira,Portugal,Aveiro_São João da Madeira,116.7
3701,Aveiro,São João da Madeira,Portugal,Aveiro_São João da Madeira,116.7
3740,Aveiro,Sever do Vouga,Portugal,Aveiro_Sever do Vouga,80.4
3744,Aveiro,Sever do Vouga,Portugal,Aveiro_Sever do Vouga,80.4
3840,Aveiro,Vagos,Portugal,Aveiro_Vagos,79.5
3730,Aveiro,Vale de Cambra,Portugal,Aveiro_Vale de Cambra,87.8
3734,Aveiro,Vale de Cambra,Portugal,Aveiro_Vale de Cambra,87.8
7600,Beja,Aljustrel,Portugal,Beja_Aljustrel,84.2
7604,Beja,Aljustrel,Portugal,Beja_Aljustrel,84.2
7700,Beja,Almodôvar,Portugal,Beja_Almodôvar,80.4
7920,Beja,Alvito,Portugal,Beja_Alvito,72.4
7924,Beja,Alvito,Portugal,Beja_Alvito,72.4
7230,Beja,Barrancos,Portugal,Beja_Barrancos,67.2
7800,Beja,Beja,Portugal,Beja_Beja,101.7
7801,Beja,Beja,Portugal,Beja_Beja,101.7
7780,Beja,Castro Verde,Portugal,Beja_Castro Verde,103.5
7940,Beja,Cuba,Portugal,Beja_Cuba,73.7
7900,Beja,Ferreira do Alentejo,Portugal,Beja_Ferreira do Alentejo,74.9
7750,Beja,Mértola,Portugal,Beja_Mértola,68.9
7754,Beja,Mértola,Portugal,Beja_Mértola,68.9
7885,Beja,Moura,Portugal,Beja_Moura,76
7875,Beja,Moura,Portugal,Beja_Moura,76
7860,Beja,Moura,Portugal,Beja_Moura,76
7864,Beja,Moura,Portugal,Beja_Moura,76
7630,Beja,Odemira,Portugal,Beja_Odemira,79.5
7665,Beja,Odemira,Portugal,Beja_Odemira,79.5
7645,Beja,Odemira,Portugal,Beja_Odemira,79.5
7670,Beja,Ourique,Portugal,Beja_Ourique,75.6
7830,Beja,Serpa,Portugal,Beja_Serpa,74.4
7960,Beja,Vidigueira,Portugal,Beja_Vidigueira,79.4
4720,Braga,Amares,Portugal,Braga_Amares,74
4750,Braga,Barcelos,Portugal,Braga_Barcelos,81.6
4755,Braga,Barcelos,Portugal,Braga_Barcelos,81.6
4905,Braga,Barcelos,Portugal,Braga_Barcelos,81.6
4754,Braga,Barcelos,Portugal,Braga_Barcelos,81.6
4740,Braga,Barcelos,Portugal,Braga_Barcelos,81.6
4775,Braga,Barcelos,Portugal,Braga_Barcelos,81.6
4710,Braga,Braga,Portugal,Braga_Braga,105.4
4705,Braga,Braga,Portugal,Braga_Braga,105.4
4709,Braga,Braga,Portugal,Braga_Braga,105.4
4700,Braga,Braga,Portugal,Braga_Braga,105.4
4704,Braga,Braga,Portugal,Braga_Braga,105.4
4714,Braga,Braga,Portugal,Braga_Braga,105.4
4715,Braga,Braga,Portugal,Braga_Braga,105.4
4719,Braga,Braga,Portugal,Braga_Braga,105.4
4860,Braga,Cabeceiras de Basto,Portugal,Braga_Cabeceiras de Basto,69
4615,Braga,Celorico de Basto,Portugal,Braga_Celorico de Basto,63.3
4890,Braga,Celorico de Basto,Portugal,Braga_Celorico de Basto,63.3
4820,Braga,Celorico de Basto,Portugal,Braga_Celorico de Basto,63.3
4740,Braga,Esposende,Portugal,Braga_Esposende,86.8
4820,Braga,Fafe,Portugal,Braga_Fafe,76.9
4824,Braga,Fafe,Portugal,Braga_Fafe,76.9
4810,Braga,Guimarães,Portugal,Braga_Guimarães,89.3
4805,Braga,Guimarães,Portugal,Braga_Guimarães,89.3
4765,Braga,Guimarães,Portugal,Braga_Guimarães,89.3
4800,Braga,Guimarães,Portugal,Braga_Guimarães,89.3
4804,Braga,Guimarães,Portugal,Braga_Guimarães,89.3
4809,Braga,Guimarães,Portugal,Braga_Guimarães,89.3
4815,Braga,Guimarães,Portugal,Braga_Guimarães,89.3
4835,Braga,Guimarães,Portugal,Braga_Guimarães,89.3
4815,Braga,Vizela,Portugal,Braga_Vizela,81.4
4839,Braga,Guimarães,Portugal,Braga_Guimarães,89.3
4814,Braga,Guimarães,Portugal,Braga_Guimarães,89.3
4830,Braga,Póvoa de Lanhoso,Portugal,Braga_Póvoa de Lanhoso,72
4840,Braga,Terras de Bouro,Portugal,Braga_Terras de Bouro,67.1
4845,Braga,Terras de Bouro,Portugal,Braga_Terras de Bouro,67.1
4850,Braga,Vieira do Minho,Portugal,Braga_Vieira do Minho,67.5
4770,Braga,Vila Nova de Famalicão,Portugal,Braga_Vila Nova de Famalicão,92.1
4760,Braga,Vila Nova de Famalicão,Portugal,Braga_Vila Nova de Famalicão,92.1
4775,Braga,Vila Nova de Famalicão,Portugal,Braga_Vila Nova de Famalicão,92.1
4765,Braga,Vila Nova de Famalicão,Portugal,Braga_Vila Nova de Famalicão,92.1
4764,Braga,Vila Nova de Famalicão,Portugal,Braga_Vila Nova de Famalicão,92.1
4763,Braga,Vila Nova de Famalicão,Portugal,Braga_Vila Nova de Famalicão,92.1
4730,Braga,Vila Verde,Portugal,Braga_Vila Verde,74.2
4620,Braga,Vizela,Portugal,Braga_Vizela,81.4
5350,Bragança,Alfândega da Fé,Portugal,Bragança_Alfândega da Fé,68.3
5300,Bragança,Bragança,Portugal,Bragança_Bragança,95.9
5301,Bragança,Bragança,Portugal,Bragança_Bragança,95.9
5140,Bragança,Carrazeda de Ansiães,Portugal,Bragança_Carrazeda de Ansiães,67.9
5180,Bragança,Freixo de Espada à Cinta,Portugal,Bragança_Freixo de Espada à Cinta,68.3
5340,Bragança,Macedo de Cavaleiros,Portugal,Bragança_Macedo de Cavaleiros,76.8
5225,Bragança,Miranda do Douro,Portugal,Bragança_Miranda do Douro,75.2
5210,Bragança,Miranda do Douro,Portugal,Bragança_Miranda do Douro,75.2
5370,Bragança,Mirandela,Portugal,Bragança_Mirandela,85.1
5385,Bragança,Mirandela,Portugal,Bragança_Mirandela,85.1
5374,Bragança,Mirandela,Portugal,Bragança_Mirandela,85.1
5200,Bragança,Mogadouro,Portugal,Bragança_Mogadouro,70.5
5350,Bragança,Mogadouro,Portugal,Bragança_Mogadouro,70.5
5204,Bragança,Mogadouro,Portugal,Bragança_Mogadouro,70.5
5160,Bragança,Torre de Moncorvo,Portugal,Bragança_Torre de Moncorvo,68.8
5164,Bragança,Torre de Moncorvo,Portugal,Bragança_Torre de Moncorvo,68.8
5360,Bragança,Vila Flor,Portugal,Bragança_Vila Flor,65.9
5230,Bragança,Vimioso,Portugal,Bragança_Vimioso,63.2
5335,Bragança,Vinhais,Portugal,Bragança_Vinhais,61.9
5320,Bragança,Vinhais,Portugal,Bragança_Vinhais,61.9
6250,Castelo Branco,Belmonte,Portugal,Castelo Branco_Belmonte,74.4
6005,Castelo Branco,Castelo Branco,Portugal,Castelo Branco_Castelo Branco,96.2
6000,Castelo Branco,Castelo Branco,Portugal,Castelo Branco_Castelo Branco,96.2
6004,Castelo Branco,Castelo Branco,Portugal,Castelo Branco_Castelo Branco,96.2
6225,Castelo Branco,Covilhã,Portugal,Castelo Branco_Covilhã,86.9
6200,Castelo Branco,Covilhã,Portugal,Castelo Branco_Covilhã,86.9
6215,Castelo Branco,Covilhã,Portugal,Castelo Branco_Covilhã,86.9
6201,Castelo Branco,Covilhã,Portugal,Castelo Branco_Covilhã,86.9
6230,Castelo Branco,Covilhã,Portugal,Castelo Branco_Covilhã,86.9
6230,Castelo Branco,Fundão,Portugal,Castelo Branco_Fundão,79.8
6185,Castelo Branco,Fundão,Portugal,Castelo Branco_Fundão,79.8
6005,Castelo Branco,Fundão,Portugal,Castelo Branco_Fundão,79.8
6060,Castelo Branco,Idanha-a-Nova,Portugal,Castelo Branco_Idanha-a-Nova,68.5
6160,Castelo Branco,Oleiros,Portugal,Castelo Branco_Oleiros,66.6
6185,Castelo Branco,Oleiros,Portugal,Castelo Branco_Oleiros,66.6
6090,Castelo Branco,Penamacor,Portugal,Castelo Branco_Penamacor,61.2
6320,Castelo Branco,Penamacor,Portugal,Castelo Branco_Penamacor,61.2
6150,Castelo Branco,Proença-a-Nova,Portugal,Castelo Branco_Proença-a-Nova,74.8
6100,Castelo Branco,Sertã,Portugal,Castelo Branco_Sertã,76.3
6110,Castelo Branco,Vila de Rei,Portugal,Castelo Branco_Vila de Rei,67.4
6030,Castelo Branco,Vila Velha de Ródão,Portugal,Castelo Branco_Vila Velha de Ródão,73.9
3305,Coimbra,Arganil,Portugal,Coimbra_Arganil,72.1
3300,Coimbra,Arganil,Portugal,Coimbra_Arganil,72.1
3060,Coimbra,Cantanhede,Portugal,Coimbra_Cantanhede,84.4
3064,Coimbra,Cantanhede,Portugal,Coimbra_Cantanhede,84.4
3040,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,119.8
3045,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,119.8
3025,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,119.8
3020,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,119.8
3030,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,119.8
3044,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,119.8
3004,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,119.8
3000,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,119.8
3034,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,119.8
3049,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,119.8
3020,Aveiro,Mealhada,Portugal,Aveiro_Mealhada,88.8
3048,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,119.8
3150,Coimbra,Condeixa-a-Nova,Portugal,Coimbra_Condeixa-a-Nova,84.1
3154,Coimbra,Condeixa-a-Nova,Portugal,Coimbra_Condeixa-a-Nova,84.1
3090,Coimbra,Figueira da Foz,Portugal,Coimbra_Figueira da Foz,94.8
3080,Coimbra,Figueira da Foz,Portugal,Coimbra_Figueira da Foz,94.8
3094,Coimbra,Figueira da Foz,Portugal,Coimbra_Figueira da Foz,94.8
3084,Coimbra,Figueira da Foz,Portugal,Coimbra_Figueira da Foz,94.8
3330,Coimbra,Góis,Portugal,Coimbra_Góis,68.3
3334,Coimbra,Góis,Portugal,Coimbra_Góis,68.3
3200,Coimbra,Lousã,Portugal,Coimbra_Lousã,84.4
3070,Coimbra,Mira,Portugal,Coimbra_Mira,77.1
3074,Coimbra,Mira,Portugal,Coimbra_Mira,77.1
3220,Coimbra,Miranda do Corvo,Portugal,Coimbra_Miranda do Corvo,73.7
3140,Coimbra,Montemor-o-Velho,Portugal,Coimbra_Montemor-o-Velho,75.6
3144,Coimbra,Montemor-o-Velho,Portugal,Coimbra_Montemor-o-Velho,75.6
3400,Coimbra,Oliveira do Hospital,Portugal,Coimbra_Oliveira do Hospital,75.1
3405,Coimbra,Oliveira do Hospital,Portugal,Coimbra_Oliveira do Hospital,75.1
3404,Coimbra,Oliveira do Hospital,Portugal,Coimbra_Oliveira do Hospital,75.1
3320,Coimbra,Pampilhosa da Serra,Portugal,Coimbra_Pampilhosa da Serra,65
3360,Coimbra,Penacova,Portugal,Coimbra_Penacova,69.7
3230,Coimbra,Penela,Portugal,Coimbra_Penela,77.5
3234,Coimbra,Penela,Portugal,Coimbra_Penela,77.5
3130,Coimbra,Soure,Portugal,Coimbra_Soure,74.6
3420,Coimbra,Tábua,Portugal,Coimbra_Tábua,73.8
3350,Coimbra,Vila Nova de Poiares,Portugal,Coimbra_Vila Nova de Poiares,77.8
7250,Évora,Alandroal,Portugal,Évora_Alandroal,69.8
7154,Évora,Borba,Portugal,Évora_Borba,75.8
7200,Évora,Alandroal,Portugal,Évora_Alandroal,69.8
7040,Évora,Arraiolos,Portugal,Évora_Arraiolos,77.1
7150,Évora,Borba,Portugal,Évora_Borba,75.8
7100,Évora,Estremoz,Portugal,Évora_Estremoz,95.7
7005,Évora,Évora,Portugal,Évora_Évora,112
7000,Évora,Évora,Portugal,Évora_Évora,112
7004,Évora,Évora,Portugal,Évora_Évora,112
7009,Évora,Évora,Portugal,Évora_Évora,112
7200,Évora,Évora,Portugal,Évora_Évora,112
7050,Évora,Montemor-o-Novo,Portugal,Évora_Montemor-o-Novo,88.6
7490,Évora,Mora,Portugal,Évora_Mora,80.2
7240,Évora,Mourão,Portugal,Évora_Mourão,71.2
7244,Évora,Mourão,Portugal,Évora_Mourão,71.2
7220,Évora,Portel,Portugal,Évora_Portel,68.2
7200,Évora,Redondo,Portugal,Évora_Redondo,74.1
7170,Évora,Redondo,Portugal,Évora_Redondo,74.1
7200,Évora,Reguengos de Monsaraz,Portugal,Évora_Reguengos de Monsaraz,90.9
2965,Évora,Vendas Novas,Portugal,Évora_Vendas Novas,93.1
7080,Évora,Vendas Novas,Portugal,Évora_Vendas Novas,93.1
7090,Évora,Viana do Alentejo,Portugal,Évora_Viana do Alentejo,78.8
7160,Évora,Vila Viçosa,Portugal,Évora_Vila Viçosa,82.8
8200,Faro,Albufeira,Portugal,Faro_Albufeira,107
8201,Faro,Albufeira,Portugal,Faro_Albufeira,107
8203,Faro,Albufeira,Portugal,Faro_Albufeira,107
8970,Faro,Alcoutim,Portugal,Faro_Alcoutim,71
8670,Faro,Aljezur,Portugal,Faro_Aljezur,71.6
8950,Faro,Castro Marim,Portugal,Faro_Castro Marim,81.2
8954,Faro,Castro Marim,Portugal,Faro_Castro Marim,81.2
8009,Faro,Faro,Portugal,Faro_Faro,116
8005,Faro,Faro,Portugal,Faro_Faro,116
8000,Faro,Faro,Portugal,Faro_Faro,116
8004,Faro,Faro,Portugal,Faro_Faro,116
8400,Faro,Lagoa,Portugal,Faro_Lagoa ,91.4
8401,Faro,Lagoa,Portugal,Faro_Lagoa ,91.4
8600,Faro,Lagos,Portugal,Faro_Lagos,94.4
8601,Faro,Lagos,Portugal,Faro_Lagos,94.4
8604,Faro,Lagos,Portugal,Faro_Lagos,94.4
8135,Faro,Loulé,Portugal,Faro_Loulé,115.4
8100,Faro,Loulé,Portugal,Faro_Loulé,115.4
8136,Faro,Loulé,Portugal,Faro_Loulé,115.4
8104,Faro,Loulé,Portugal,Faro_Loulé,115.4
8125,Faro,Loulé,Portugal,Faro_Loulé,115.4
8550,Faro,Monchique,Portugal,Faro_Monchique,65.7
8700,Faro,Olhão,Portugal,Faro_Olhão,84.5
8500,Faro,Portimão,Portugal,Faro_Portimão,102.1
8501,Faro,Portimão,Portugal,Faro_Portimão,102.1
8150,Faro,São Brás de Alportel,Portugal,Faro_São Brás de Alportel,90.2
8365,Faro,Silves,Portugal,Faro_Silves,83.8
8375,Faro,Silves,Portugal,Faro_Silves,83.8
8300,Faro,Silves,Portugal,Faro_Silves,83.8
8800,Faro,Tavira,Portugal,Faro_Tavira,93.7
8801,Faro,Tavira,Portugal,Faro_Tavira,93.7
8804,Faro,Tavira,Portugal,Faro_Tavira,93.7
8650,Faro,Vila do Bispo,Portugal,Faro_Vila do Bispo,67.2
8900,Faro,Vila Real de Santo António,Portugal,Faro_Vila Real de Santo António,93.8
3570,Guarda,Aguiar da Beira,Portugal,Guarda_Aguiar da Beira,70.5
6355,Guarda,Almeida,Portugal,Guarda_Almeida,72.9
6350,Guarda,Almeida,Portugal,Guarda_Almeida,72.9
6360,Guarda,Celorico da Beira,Portugal,Guarda_Celorico da Beira,71.1
6440,Guarda,Figueira de Castelo Rodrigo,Portugal,Guarda_Figueira de Castelo Rodrigo,69.8
6370,Guarda,Fornos de Algodres,Portugal,Guarda_Fornos de Algodres,64.7
6290,Guarda,Gouveia,Portugal,Guarda_Gouveia,69.6
6294,Guarda,Gouveia,Portugal,Guarda_Gouveia,69.6
6300,Guarda,Guarda,Portugal,Guarda_Guarda,95.3
6301,Guarda,Guarda,Portugal,Guarda_Guarda,95.3
6260,Guarda,Manteigas,Portugal,Guarda_Manteigas,71.6
6264,Guarda,Manteigas,Portugal,Guarda_Manteigas,71.6
6430,Guarda,Mêda,Portugal,Guarda_Meda,68
6400,Guarda,Pinhel,Portugal,Guarda_Pinhel,70
6320,Guarda,Sabugal,Portugal,Guarda_Sabugal,64.1
6250,Guarda,Sabugal,Portugal,Guarda_Sabugal,64.1
6324,Guarda,Sabugal,Portugal,Guarda_Sabugal,64.1
6270,Guarda,Seia,Portugal,Guarda_Seia,78.9
6274,Guarda,Seia,Portugal,Guarda_Seia,78.9
6285,Guarda,Seia,Portugal,Guarda_Seia,78.9
6420,Guarda,Trancoso,Portugal,Guarda_Trancoso,71.4
3640,Guarda,Trancoso,Portugal,Guarda_Trancoso,71.4
6424,Guarda,Trancoso,Portugal,Guarda_Trancoso,71.4
5150,Guarda,Vila Nova de Foz Côa,Portugal,Guarda_Vila Nova de Foz Côa,72
5155,Guarda,Vila Nova de Foz Côa,Portugal,Guarda_Vila Nova de Foz Côa,72
