postcodes,district,county,country,district_county,lat,long
3750,Aveiro,Águeda,Portugal,Aveiro_Águeda,40.583217000000005,-8.425849906880153
3754,Aveiro,Águeda,Portugal,Aveiro_Águeda,40.583217000000005,-8.425849906880153
3850,Aveiro,Albergaria-a-Velha,Portugal,Aveiro_Albergaria-a-Velha,40.688155550000005,-8.502978845597925
3780,Aveiro,Anadia,Portugal,Aveiro_Anadia,40.601383999999996,-7.769730642279349
4540,Aveiro,Arouca,Portugal,Aveiro_Arouca,40.93356265,-8.242678479864527
3810,Aveiro,Aveiro,Portugal,Aveiro_Aveiro,40.679150449999995,-8.52171661522701
3800,Aveiro,Aveiro,Portugal,Aveiro_Aveiro,40.679150449999995,-8.52171661522701
3804,Aveiro,Aveiro,Portugal,Aveiro_Aveiro,40.679150449999995,-8.52171661522701
3814,Aveiro,Aveiro,Portugal,Aveiro_Aveiro,40.679150449999995,-8.52171661522701
3813,Aveiro,Aveiro,Portugal,Aveiro_Aveiro,40.679150449999995,-8.52171661522701
4550,Aveiro,Castelo de Paiva,Portugal,Aveiro_Castelo de Paiva,41.03649075,-8.279560300100806
4504,Aveiro,Espinho,Portugal,Aveiro_Espinho,40.2550161,-8.1197131
3860,Aveiro,Estarreja,Portugal,Aveiro_Estarreja,40.74774145628352,-8.581865553340606
3864,Aveiro,Estarreja,Portugal,Aveiro_Estarreja,40.74774145628352,-8.581865553340606
3870,Aveiro,Murtosa,Portugal,Aveiro_Murtosa,40.72525652680332,-8.626509192311104
3865,Aveiro,Estarreja,Portugal,Aveiro_Estarreja,40.74774145628352,-8.581865553340606
3830,Aveiro,Ílhavo,Portugal,Aveiro_Ílhavo,40.60097945,-8.673881638932594
3050,Aveiro,Mealhada,Portugal,Aveiro_Mealhada,40.3820855,-8.442101211113574
3054,Aveiro,Mealhada,Portugal,Aveiro_Mealhada,40.3820855,-8.442101211113574
3720,Aveiro,Oliveira de Azeméis,Portugal,Aveiro_Oliveira de Azeméis,40.8431067,-8.468516409995193
3770,Aveiro,Oliveira do Bairro,Portugal,Aveiro_Oliveira do Bairro,40.50833005,-8.4849392462688
3774,Aveiro,Oliveira do Bairro,Portugal,Aveiro_Oliveira do Bairro,40.50833005,-8.4849392462688
3885,Aveiro,Ovar,Portugal,Aveiro_Ovar,40.8456684,-8.64847761987809
3880,Aveiro,Ovar,Portugal,Aveiro_Ovar,40.8456684,-8.64847761987809
3884,Aveiro,Ovar,Portugal,Aveiro_Ovar,40.8456684,-8.64847761987809
4505,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,38.0439558,-7.854392350486331
3700,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,38.0439558,-7.854392350486331
4525,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,38.0439558,-7.854392350486331
4520,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,38.0439558,-7.854392350486331
4535,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,38.0439558,-7.854392350486331
4500,Aveiro,Santa Maria da Feira,Portugal,Aveiro_Santa Maria da Feira,38.0439558,-7.854392350486331
3701,Aveiro,São João da Madeira,Portugal,Aveiro_São João da Madeira,40.897404,-8.490683816868543
3740,Aveiro,Sever do Vouga,Portugal,Aveiro_Sever do Vouga,40.73057185,-8.370092204141741
3744,Aveiro,Sever do Vouga,Portugal,Aveiro_Sever do Vouga,40.73057185,-8.370092204141741
3840,Aveiro,Vagos,Portugal,Aveiro_Vagos,40.553500299999996,-8.69891688842035
3730,Aveiro,Vale de Cambra,Portugal,Aveiro_Vale de Cambra,40.8390621,-8.402303678879736
3734,Aveiro,Vale de Cambra,Portugal,Aveiro_Vale de Cambra,40.8390621,-8.402303678879736
7600,Beja,Aljustrel,Portugal,Beja_Aljustrel,37.8815018,-8.1675928
7604,Beja,Aljustrel,Portugal,Beja_Aljustrel,37.8815018,-8.1675928
7700,Beja,Almodôvar,Portugal,Beja_Almodôvar,37.481751,-8.034822842056554
7920,Beja,Alvito,Portugal,Beja_Alvito,41.607831649999994,-8.588235138704073
7924,Beja,Alvito,Portugal,Beja_Alvito,41.607831649999994,-8.588235138704073
7230,Beja,Barrancos,Portugal,Beja_Barrancos,37.11813825,-8.304531539608561
7800,Beja,Beja,Portugal,Beja_Beja,37.8250335,-7.933855145708009
7801,Beja,Beja,Portugal,Beja_Beja,37.8250335,-7.933855145708009
7780,Beja,Castro Verde,Portugal,Beja_Castro Verde,37.7175134,-8.10258280558051
7940,Beja,Cuba,Portugal,Beja_Cuba,38.1688973,-7.892582415471567
7900,Beja,Ferreira do Alentejo,Portugal,Beja_Ferreira do Alentejo,38.052694200000005,-8.137049998474158
7750,Beja,Mértola,Portugal,Beja_Mértola,37.98387897699075,-7.8483646674330485
7754,Beja,Mértola,Portugal,Beja_Mértola,37.98387897699075,-7.8483646674330485
7885,Beja,Moura,Portugal,Beja_Moura,40.2774107,-6.986589
7875,Beja,Moura,Portugal,Beja_Moura,40.2774107,-6.986589
7860,Beja,Moura,Portugal,Beja_Moura,40.2774107,-6.986589
7864,Beja,Moura,Portugal,Beja_Moura,40.2774107,-6.986589
7630,Beja,Odemira,Portugal,Beja_Odemira,37.637745949999996,-8.596658769890816
7665,Beja,Odemira,Portugal,Beja_Odemira,37.637745949999996,-8.596658769890816
7645,Beja,Odemira,Portugal,Beja_Odemira,37.637745949999996,-8.596658769890816
7670,Beja,Ourique,Portugal,Beja_Ourique,37.649306800000005,-8.227571523371154
7830,Beja,Serpa,Portugal,Beja_Serpa,37.878961950000004,-7.540821602235044
7960,Beja,Vidigueira,Portugal,Beja_Vidigueira,38.208623349999996,-7.8014092429268835
4720,Braga,Amares,Portugal,Braga_Amares,41.63119345,-8.34888765257488
4750,Braga,Barcelos,Portugal,Braga_Barcelos,41.53245575,-8.618249942408191
4755,Braga,Barcelos,Portugal,Braga_Barcelos,41.53245575,-8.618249942408191
4754,Braga,Barcelos,Portugal,Braga_Barcelos,41.53245575,-8.618249942408191
4775,Braga,Barcelos,Portugal,Braga_Barcelos,41.53245575,-8.618249942408191
4710,Braga,Braga,Portugal,Braga_Braga,41.56983185,-8.305940894467813
4705,Braga,Braga,Portugal,Braga_Braga,41.56983185,-8.305940894467813
4709,Braga,Braga,Portugal,Braga_Braga,41.56983185,-8.305940894467813
4700,Braga,Braga,Portugal,Braga_Braga,41.56983185,-8.305940894467813
4704,Braga,Braga,Portugal,Braga_Braga,41.56983185,-8.305940894467813
4714,Braga,Braga,Portugal,Braga_Braga,41.56983185,-8.305940894467813
4715,Braga,Braga,Portugal,Braga_Braga,41.56983185,-8.305940894467813
4719,Braga,Braga,Portugal,Braga_Braga,41.56983185,-8.305940894467813
4890,Braga,Celorico de Basto,Portugal,Braga_Celorico de Basto,41.3315359,-8.035898570212952
4740,Braga,Esposende,Portugal,Braga_Esposende,41.5333306,-8.780710679483596
4820,Braga,Fafe,Portugal,Braga_Fafe,41.54217935,-8.16629353302866
4824,Braga,Fafe,Portugal,Braga_Fafe,41.54217935,-8.16629353302866
4810,Braga,Guimarães,Portugal,Braga_Guimarães,41.4471587,-8.288836286546829
4805,Braga,Guimarães,Portugal,Braga_Guimarães,41.4471587,-8.288836286546829
4800,Braga,Guimarães,Portugal,Braga_Guimarães,41.4471587,-8.288836286546829
4804,Braga,Guimarães,Portugal,Braga_Guimarães,41.4471587,-8.288836286546829
4809,Braga,Guimarães,Portugal,Braga_Guimarães,41.4471587,-8.288836286546829
4815,Braga,Guimarães,Portugal,Braga_Guimarães,41.4471587,-8.288836286546829
4835,Braga,Guimarães,Portugal,Braga_Guimarães,41.4471587,-8.288836286546829
4839,Braga,Guimarães,Portugal,Braga_Guimarães,41.4471587,-8.288836286546829
4814,Braga,Guimarães,Portugal,Braga_Guimarães,41.4471587,-8.288836286546829
4830,Braga,Póvoa de Lanhoso,Portugal,Braga_Póvoa de Lanhoso,41.57939295,-8.276726605075048
4840,Braga,Terras de Bouro,Portugal,Braga_Terras de Bouro,41.71864975,-8.306390766173418
4845,Braga,Terras de Bouro,Portugal,Braga_Terras de Bouro,41.71864975,-8.306390766173418
4850,Braga,Vieira do Minho,Portugal,Braga_Vieira do Minho,41.62713705,-8.139772276053165
4770,Braga,Vila Nova de Famalicão,Portugal,Braga_Vila Nova de Famalicão,41.414376399999995,-8.522835161985839
4760,Braga,Vila Nova de Famalicão,Portugal,Braga_Vila Nova de Famalicão,41.414376399999995,-8.522835161985839
4765,Braga,Vila Nova de Famalicão,Portugal,Braga_Vila Nova de Famalicão,41.414376399999995,-8.522835161985839
4764,Braga,Vila Nova de Famalicão,Portugal,Braga_Vila Nova de Famalicão,41.414376399999995,-8.522835161985839
4763,Braga,Vila Nova de Famalicão,Portugal,Braga_Vila Nova de Famalicão,41.414376399999995,-8.522835161985839
4730,Braga,Vila Verde,Portugal,Braga_Vila Verde,41.6460988,-8.427741608749997
4620,Braga,Vizela,Portugal,Braga_Vizela,41.38085195,-8.249737114965598
5350,Bragança,Alfândega da Fé,Portugal,Bragança_Alfândega da Fé,41.37069385,-6.955079302711713
5300,Bragança,Bragança,Portugal,Bragança_Bragança,41.5084468,-6.773302360533066
5301,Bragança,Bragança,Portugal,Bragança_Bragança,41.5084468,-6.773302360533066
5140,Bragança,Carrazeda de Ansiães,Portugal,Bragança_Carrazeda de Ansiães,41.24393905,-7.306333778187924
5180,Bragança,Freixo de Espada à Cinta,Portugal,Bragança_Freixo de Espada à Cinta,41.08410765,-6.825511111494766
5340,Bragança,Macedo de Cavaleiros,Portugal,Bragança_Macedo de Cavaleiros,41.53087972522448,-6.960950007034754
5225,Bragança,Miranda do Douro,Portugal,Bragança_Miranda do Douro,41.48942005000001,-6.264130212520131
5210,Bragança,Miranda do Douro,Portugal,Bragança_Miranda do Douro,41.48942005000001,-6.264130212520131
5370,Bragança,Mirandela,Portugal,Bragança_Mirandela,41.5034584,-7.168360820352387
5385,Bragança,Mirandela,Portugal,Bragança_Mirandela,41.5034584,-7.168360820352387
5374,Bragança,Mirandela,Portugal,Bragança_Mirandela,41.5034584,-7.168360820352387
5200,Bragança,Mogadouro,Portugal,Bragança_Mogadouro,41.3275372,-6.708026371672676
5204,Bragança,Mogadouro,Portugal,Bragança_Mogadouro,41.3275372,-6.708026371672676
5160,Bragança,Torre de Moncorvo,Portugal,Bragança_Torre de Moncorvo,41.1720971,-7.055233442032938
5164,Bragança,Torre de Moncorvo,Portugal,Bragança_Torre de Moncorvo,41.1720971,-7.055233442032938
5360,Bragança,Vila Flor,Portugal,Bragança_Vila Flor,41.28118445,-7.11698675291381
6250,Castelo Branco,Belmonte,Portugal,Castelo Branco_Belmonte,40.33566585,-7.348944166400913
6005,Castelo Branco,Castelo Branco,Portugal,Castelo Branco_Castelo Branco,39.97675825,-7.446059929966704
6000,Castelo Branco,Castelo Branco,Portugal,Castelo Branco_Castelo Branco,39.97675825,-7.446059929966704
6004,Castelo Branco,Castelo Branco,Portugal,Castelo Branco_Castelo Branco,39.97675825,-7.446059929966704
6225,Castelo Branco,Covilhã,Portugal,Castelo Branco_Covilhã,40.28695805,-7.5007239184333905
6200,Castelo Branco,Covilhã,Portugal,Castelo Branco_Covilhã,40.28695805,-7.5007239184333905
6215,Castelo Branco,Covilhã,Portugal,Castelo Branco_Covilhã,40.28695805,-7.5007239184333905
6201,Castelo Branco,Covilhã,Portugal,Castelo Branco_Covilhã,40.28695805,-7.5007239184333905
6230,Castelo Branco,Covilhã,Portugal,Castelo Branco_Covilhã,40.28695805,-7.5007239184333905
6185,Castelo Branco,Fundão,Portugal,Castelo Branco_Fundão,40.155232850000004,-7.495988606373544
6060,Castelo Branco,Idanha-a-Nova,Portugal,Castelo Branco_Idanha-a-Nova,39.885492299999996,-7.214374101566566
6160,Castelo Branco,Oleiros,Portugal,Castelo Branco_Oleiros,41.46554325,-8.403135455641348
6090,Castelo Branco,Penamacor,Portugal,Castelo Branco_Penamacor,40.1684193,-7.175851080915157
6320,Castelo Branco,Penamacor,Portugal,Castelo Branco_Penamacor,40.1684193,-7.175851080915157
6150,Castelo Branco,Proença-a-Nova,Portugal,Castelo Branco_Proença-a-Nova,39.73950325,-7.904001898783745
6100,Castelo Branco,Sertã,Portugal,Castelo Branco_Sertã,39.8678593,-7.9941203
6110,Castelo Branco,Vila de Rei,Portugal,Castelo Branco_Vila de Rei,41.302944600000004,-6.666095726629987
3305,Coimbra,Arganil,Portugal,Coimbra_Arganil,39.681042802501466,-7.972898100678883
3300,Coimbra,Arganil,Portugal,Coimbra_Arganil,39.681042802501466,-7.972898100678883
3060,Coimbra,Cantanhede,Portugal,Coimbra_Cantanhede,40.3455612,-8.60446960281715
3064,Coimbra,Cantanhede,Portugal,Coimbra_Cantanhede,40.3455612,-8.60446960281715
3040,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,40.22153715,-8.338105934554843
3045,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,40.22153715,-8.338105934554843
3025,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,40.22153715,-8.338105934554843
3020,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,40.22153715,-8.338105934554843
3030,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,40.22153715,-8.338105934554843
3044,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,40.22153715,-8.338105934554843
3004,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,40.22153715,-8.338105934554843
3000,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,40.22153715,-8.338105934554843
3034,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,40.22153715,-8.338105934554843
3049,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,40.22153715,-8.338105934554843
3048,Coimbra,Coimbra,Portugal,Coimbra_Coimbra,40.22153715,-8.338105934554843
3150,Coimbra,Condeixa-a-Nova,Portugal,Coimbra_Condeixa-a-Nova,40.11832575,-8.498568763527336
3154,Coimbra,Condeixa-a-Nova,Portugal,Coimbra_Condeixa-a-Nova,40.11832575,-8.498568763527336
3090,Coimbra,Figueira da Foz,Portugal,Coimbra_Figueira da Foz,40.1564582,-8.872085268978692
3080,Coimbra,Figueira da Foz,Portugal,Coimbra_Figueira da Foz,40.1564582,-8.872085268978692
3094,Coimbra,Figueira da Foz,Portugal,Coimbra_Figueira da Foz,40.1564582,-8.872085268978692
3084,Coimbra,Figueira da Foz,Portugal,Coimbra_Figueira da Foz,40.1564582,-8.872085268978692
3330,Coimbra,Góis,Portugal,Coimbra_Góis,41.8981026,-8.7900568
3334,Coimbra,Góis,Portugal,Coimbra_Góis,41.8981026,-8.7900568
3200,Coimbra,Lousã,Portugal,Coimbra_Lousã,39.942631500000005,-7.359817325021125
3070,Coimbra,Mira,Portugal,Coimbra_Mira,38.053014,-8.026017
3074,Coimbra,Mira,Portugal,Coimbra_Mira,38.053014,-8.026017
3140,Coimbra,Montemor-o-Velho,Portugal,Coimbra_Montemor-o-Velho,40.18718675,-8.661443827671647
3144,Coimbra,Montemor-o-Velho,Portugal,Coimbra_Montemor-o-Velho,40.18718675,-8.661443827671647
3400,Coimbra,Oliveira do Hospital,Portugal,Coimbra_Oliveira do Hospital,40.35415605,-7.862294285249114
3405,Coimbra,Oliveira do Hospital,Portugal,Coimbra_Oliveira do Hospital,40.35415605,-7.862294285249114
3404,Coimbra,Oliveira do Hospital,Portugal,Coimbra_Oliveira do Hospital,40.35415605,-7.862294285249114
3320,Coimbra,Pampilhosa da Serra,Portugal,Coimbra_Pampilhosa da Serra,40.0470923,-7.947834
3360,Coimbra,Penacova,Portugal,Coimbra_Penacova,41.7664844,-8.2839984
3230,Coimbra,Penela,Portugal,Coimbra_Penela,40.900695150000004,-7.304183422680138
3234,Coimbra,Penela,Portugal,Coimbra_Penela,40.900695150000004,-7.304183422680138
3420,Coimbra,Tábua,Portugal,Coimbra_Tábua,37.30342202249925,-7.474341017447574
3350,Coimbra,Vila Nova de Poiares,Portugal,Coimbra_Vila Nova de Poiares,40.21379035,-8.266190934173135
7250,Évora,Alandroal,Portugal,Évora_Alandroal,38.634187499999996,-7.335932717059611
7154,Évora,Borba,Portugal,Évora_Borba,41.331519099999994,-8.129394476295701
7040,Évora,Arraiolos,Portugal,Évora_Arraiolos,38.7257078,-7.9881374
7150,Évora,Borba,Portugal,Évora_Borba,41.331519099999994,-8.129394476295701
7100,Évora,Estremoz,Portugal,Évora_Estremoz,38.843127949999996,-7.59004125516045
7005,Évora,Évora,Portugal,Évora_Évora,38.590696300000005,-7.957193367904742
7000,Évora,Évora,Portugal,Évora_Évora,38.590696300000005,-7.957193367904742
7004,Évora,Évora,Portugal,Évora_Évora,38.590696300000005,-7.957193367904742
7009,Évora,Évora,Portugal,Évora_Évora,38.590696300000005,-7.957193367904742
7050,Évora,Montemor-o-Novo,Portugal,Évora_Montemor-o-Novo,38.64571265,-8.21197488294725
7490,Évora,Mora,Portugal,Évora_Mora,37.3087384,-7.6068169
7240,Évora,Mourão,Portugal,Évora_Mourão,41.24144925,-7.198128127495142
7244,Évora,Mourão,Portugal,Évora_Mourão,41.24144925,-7.198128127495142
7220,Évora,Portel,Portugal,Évora_Portel,38.30688615,-7.704677312640056
7170,Évora,Redondo,Portugal,Évora_Redondo,41.8437574,-8.4541048
7080,Évora,Vendas Novas,Portugal,Évora_Vendas Novas,38.67813005,-8.464724966274485
7090,Évora,Viana do Alentejo,Portugal,Évora_Viana do Alentejo,38.3343033,-8.002192393818195
7160,Évora,Vila Viçosa,Portugal,Évora_Vila Viçosa,38.772107250000005,-7.413696247406754
8200,Faro,Albufeira,Portugal,Faro_Albufeira,40.870219250000005,-8.262864370390021
8201,Faro,Albufeira,Portugal,Faro_Albufeira,40.870219250000005,-8.262864370390021
8203,Faro,Albufeira,Portugal,Faro_Albufeira,40.870219250000005,-8.262864370390021
8970,Faro,Alcoutim,Portugal,Faro_Alcoutim,37.44880555,-7.497922469329714
8670,Faro,Aljezur,Portugal,Faro_Aljezur,37.3167521,-8.80514020077719
8950,Faro,Castro Marim,Portugal,Faro_Castro Marim,37.2193175,-7.447608101267559
8954,Faro,Castro Marim,Portugal,Faro_Castro Marim,37.2193175,-7.447608101267559
8009,Faro,Faro,Portugal,Faro_Faro,37.24480855,-8.150756196275431
8005,Faro,Faro,Portugal,Faro_Faro,37.24480855,-8.150756196275431
8000,Faro,Faro,Portugal,Faro_Faro,37.24480855,-8.150756196275431
8004,Faro,Faro,Portugal,Faro_Faro,37.24480855,-8.150756196275431
8400,Faro,Lagoa,Portugal,Faro_Lagoa ,41.38883665,-8.488305667485236
8401,Faro,Lagoa,Portugal,Faro_Lagoa ,41.38883665,-8.488305667485236
8600,Faro,Lagos,Portugal,Faro_Lagos,37.0928118,-8.6941099284489
8601,Faro,Lagos,Portugal,Faro_Lagos,37.0928118,-8.6941099284489
8604,Faro,Lagos,Portugal,Faro_Lagos,37.0928118,-8.6941099284489
8135,Faro,Loulé,Portugal,Faro_Loulé,37.2473538,-7.8872936
8100,Faro,Loulé,Portugal,Faro_Loulé,37.2473538,-7.8872936
8136,Faro,Loulé,Portugal,Faro_Loulé,37.2473538,-7.8872936
8104,Faro,Loulé,Portugal,Faro_Loulé,37.2473538,-7.8872936
8125,Faro,Loulé,Portugal,Faro_Loulé,37.2473538,-7.8872936
8550,Faro,Monchique,Portugal,Faro_Monchique,37.37348125,-8.581855148480685
8700,Faro,Olhão,Portugal,Faro_Olhão,37.035353,-7.837178387607318
8500,Faro,Portimão,Portugal,Faro_Portimão,37.13207645,-8.53817457665967
8501,Faro,Portimão,Portugal,Faro_Portimão,37.13207645,-8.53817457665967
8150,Faro,São Brás de Alportel,Portugal,Faro_São Brás de Alportel,37.15289505,-7.887257179149752
8365,Faro,Silves,Portugal,Faro_Silves,37.192606999999995,-8.441102924553931
8375,Faro,Silves,Portugal,Faro_Silves,37.192606999999995,-8.441102924553931
8300,Faro,Silves,Portugal,Faro_Silves,37.192606999999995,-8.441102924553931
8800,Faro,Tavira,Portugal,Faro_Tavira,37.12622695,-7.671029458777186
8801,Faro,Tavira,Portugal,Faro_Tavira,37.12622695,-7.671029458777186
8804,Faro,Tavira,Portugal,Faro_Tavira,37.12622695,-7.671029458777186
8650,Faro,Vila do Bispo,Portugal,Faro_Vila do Bispo,37.10513465,-8.919365125751604
8900,Faro,Vila Real de Santo António,Portugal,Faro_Vila Real de Santo António,37.19331765,-7.418945601771666
3570,Guarda,Aguiar da Beira,Portugal,Guarda_Aguiar da Beira,40.81739785,-7.554092011056806
6360,Guarda,Celorico da Beira,Portugal,Guarda_Celorico da Beira,40.670057150000005,-7.362366898270106
6290,Guarda,Gouveia,Portugal,Guarda_Gouveia,41.28011645,-6.999441504992746
6294,Guarda,Gouveia,Portugal,Guarda_Gouveia,41.28011645,-6.999441504992746
6300,Guarda,Guarda,Portugal,Guarda_Guarda,40.7046066,-7.195139236071309
6301,Guarda,Guarda,Portugal,Guarda_Guarda,40.7046066,-7.195139236071309
6260,Guarda,Manteigas,Portugal,Guarda_Manteigas,39.2344449,-8.7223717
6264,Guarda,Manteigas,Portugal,Guarda_Manteigas,39.2344449,-8.7223717
6430,Guarda,Mêda,Portugal,Guarda_Meda,40.969635999999994,-7.2521061239956985
6400,Guarda,Pinhel,Portugal,Guarda_Pinhel,40.77504544999999,-7.059718083273024
6324,Guarda,Sabugal,Portugal,Guarda_Sabugal,40.3365528,-7.058178668574316
6270,Guarda,Seia,Portugal,Guarda_Seia,40.424717099999995,-7.692449054394194
6274,Guarda,Seia,Portugal,Guarda_Seia,40.424717099999995,-7.692449054394194
6285,Guarda,Seia,Portugal,Guarda_Seia,40.424717099999995,-7.692449054394194
6420,Guarda,Trancoso,Portugal,Guarda_Trancoso,40.7790351,-7.3474798
6424,Guarda,Trancoso,Portugal,Guarda_Trancoso,40.7790351,-7.3474798
5150,Guarda,Vila Nova de Foz Côa,Portugal,Guarda_Vila Nova de Foz Côa,41.107551099999995,-7.1261360652260475
5155,Guarda,Vila Nova de Foz Côa,Portugal,Guarda_Vila Nova de Foz Côa,41.107551099999995,-7.1261360652260475
9980,Ilha do Corvo,Corvo,Portugal,Ilha do Corvo_Corvo,39.697714149999996,-31.105244356040338
9900,Ilha do Faial,Horta,Portugal,Ilha do Faial_Horta,40.1224669,-8.231851249999998
9901,Ilha do Faial,Horta,Portugal,Ilha do Faial_Horta,40.1224669,-8.231851249999998
9904,Ilha do Faial,Horta,Portugal,Ilha do Faial_Horta,40.1224669,-8.231851249999998
